StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q1_17_TEXT,Q2,Q2_6_TEXT,Q3,Q4,Q5_1,Q5_2,Q5_3,Q5_4,Q7,Q7_10_TEXT,Q8_1,Q19_1,Q11_1,Q12,Q12
2026-02-23 13:02:00,2026-02-23 13:05:27,IP Address,169.228.143.19,100,207,True,2026-02-23 13:05:27,R_6QumpgJiYDfofsh,,,,,32.7638,-117.07,anonymous,EN,Psychology,,Senior,,Yes,"ChatGPT,Google Gemini",40,20,,,"Conversational (Chatting, companionship, brainstorming, inquiring),Writing (Essays, e-Mails, templates, tone detection/improvement, rewriting, editing),Coding (Programming assistance, debugging, examples)",,5,5,744,$10 Million - $100 Million,3-6 months
2026-02-23 13:05:11,2026-02-23 13:05:56,IP Address,137.110.72.35,100,45,True,2026-02-23 13:05:57,R_5DNs2qWbbMtdr69,,,,,32.8595,-117.2124,qr,EN,Engineering,,Senior,,No,,,,,,,,,,,,
2026-02-23 13:06:36,2026-02-23 13:08:38,IP Address,137.110.72.35,100,121,True,2026-02-23 13:08:38,R_5SyWbrV3EzpjwJj,,,,,32.8595,-117.2124,qr,EN,Business/Business Economics,,Sophmore,,Yes,"ChatGPT,Google Gemini,Claude (Anthropic)",2,100,73,,"Conversational (Chatting, companionship, brainstorming, inquiring),Writing (Essays, e-Mails, templates, tone detection/improvement, rewriting, editing),Summarization / Paraphrasing (Condensing articles, lectures, PDF’s, restructuring writing),Planning / Scheduling: (Categorization, sorting, estimates),Creativity (Image generation, script-writing, stories)",,3,5,691,$10 Million - $100 Million,Under a month
2026-02-23 13:08:08,2026-02-23 13:10:13,IP Address,128.54.201.41,100,124,True,2026-02-23 13:10:13,R_13vz9RGKxT1fGRg,,,,,32.8509,-117.2722,anonymous,EN,Biology/Chemistry/life sciences,,Junior,,Yes,,,,,,"Research (Finding sources, gathering data, citations),Writing (Essays, e-Mails, templates, tone detection/improvement, rewriting, editing),Summarization / Paraphrasing (Condensing articles, lectures, PDF’s, restructuring writing)",,4,8,636,"$100,000 - $1 Million",6-12 months
2026-02-23 13:24:49,2026-02-23 13:27:16,IP Address,99.40.48.74,100,146,True,2026-02-23 13:27:16,R_7uCzS9aaH6b23VJ,,,,,32.7967,-117.1367,anonymous,EN,Engineering,,Junior,,Yes,"ChatGPT,Google Gemini,Claude (Anthropic)",20,20,40,,"Conversational (Chatting, companionship, brainstorming, inquiring),Problem-Solving / Arithmetic: (Math, logic, step-by-step solutions)",,3,2,47,$10 Million - $100 Million,6-12 months
2026-02-23 13:56:06,2026-02-23 13:58:14,IP Address,137.110.68.56,100,127,True,2026-02-23 13:58:14,R_7VBBQApIJJqeMQR,,,,,32.8595,-117.2124,anonymous,EN,Engineering,,Freshman,,Yes,"ChatGPT,Google Gemini",1,20,,,"Studying (Learning, exam preparation, tutoring, practice problems, flashcards),Research (Finding sources, gathering data, citations),Writing (Essays, e-Mails, templates, tone detection/improvement, rewriting, editing),Problem-Solving / Arithmetic: (Math, logic, step-by-step solutions)",,10,5,615,$1 Million - $10 Million,3-6 months
2026-02-23 13:54:58,2026-02-23 13:58:14,IP Address,137.110.44.70,100,196,True,2026-02-23 13:58:15,R_7XjmAppSpTvlpG4,,,,,32.8595,-117.2124,anonymous,EN,Psychology,,Freshman,,Yes,ChatGPT,2,,,,"Problem-Solving / Arithmetic: (Math, logic, step-by-step solutions),Others: You may elaborate here.",Literally just math. i dislike chatgpt and other generative ais greatly but i do think it's useful for math,8,8,755,$1 Million - $10 Million,More than 24 months
2026-02-23 15:03:22,2026-02-23 15:06:10,IP Address,137.110.44.146,100,167,True,2026-02-23 15:06:10,R_63m7ckB54pSBsTj,,,,,32.8595,-117.2124,qr,EN,Cognitive Science,,Sophmore,,Yes,"ChatGPT,Google Gemini",10,1,,,"Studying (Learning, exam preparation, tutoring, practice problems, flashcards),Conversational (Chatting, companionship, brainstorming, inquiring),Research (Finding sources, gathering data, citations),Writing (Essays, e-Mails, templates, tone detection/improvement, rewriting, editing),Coding (Programming assistance, debugging, examples)",,1,10,325,$10 Million - $100 Million,More than 24 months
2026-02-23 15:03:20,2026-02-23 15:08:46,IP Address,137.110.202.208,100,326,True,2026-02-23 15:08:47,R_6CBzILi3Aucu6vy,,,,,32.8595,-117.2124,qr,EN,"Mathematics and Statistics,Education",,Junior,,No,,,,,,,,,,,,
2026-02-23 16:12:54,2026-02-23 16:14:01,IP Address,128.54.176.243,100,67,True,2026-02-23 16:14:02,R_3hyY3DLUsmDbOii,,,,,32.8509,-117.2722,qr,EN,Biology/Chemistry/life sciences,,Junior,,Yes,ChatGPT,20,,,,"Studying (Learning, exam preparation, tutoring, practice problems, flashcards),Conversational (Chatting, companionship, brainstorming, inquiring),Writing (Essays, e-Mails, templates, tone detection/improvement, rewriting, editing),Summarization / Paraphrasing (Condensing articles, lectures, PDF’s, restructuring writing),Problem-Solving / Arithmetic: (Math, logic, step-by-step solutions),Planning / Scheduling: (Categorization, sorting, estimates)",,5,10,755,$1 Million - $10 Million,3-6 months
2026-02-23 17:15:34,2026-02-23 17:15:44,IP Address,128.54.0.132,100,9,True,2026-02-23 17:15:44,R_5PEMOW99lFuXkXP,,,,,32.8595,-117.2124,qr,EN,Data Science,,Graduate School,,No,,,,,,,,,,,,
2026-02-23 17:17:02,2026-02-23 17:17:25,IP Address,137.110.48.78,100,23,True,2026-02-23 17:17:25,R_3YhV3Cp90nxgeMj,,,,,32.8509,-117.2722,qr,EN,Cognitive Science,,Senior,,No,,,,,,,,,,,,
2026-02-23 18:45:16,2026-02-23 18:58:00,IP Address,69.196.40.52,100,764,True,2026-02-23 18:58:01,R_1o7SGbLIWUgbvka,,,,,32.8595,-117.2124,anonymous,EN,Data Science,,Junior,,Yes,,,,,,"Studying (Learning, exam preparation, tutoring, practice problems, flashcards),Research (Finding sources, gathering data, citations),Coding (Programming assistance, debugging, examples),Summarization / Paraphrasing (Condensing articles, lectures, PDF’s, restructuring writing),Problem-Solving / Arithmetic: (Math, logic, step-by-step solutions)",,10,2,806,"< $10,000",6-12 months
2026-02-23 22:29:05,2026-02-23 22:29:45,IP Address,128.54.158.254,100,39,True,2026-02-23 22:29:46,R_72E2qR8Kv1grCnw,,,,,33.816,-117.9692,anonymous,EN,Biology/Chemistry/life sciences,,Sophmore,,No,,,,,,,,,,,,
2026-02-17 13:39:31,2026-02-17 13:39:59,IP Address,99.21.195.241,7,28,False,2026-02-24 13:40:01,R_1JI87eUcG2lEmcM,,,,,32.7405,-117.0935,qr,EN,,,,,,,,,,,,,,,,,
2026-02-17 13:54:44,2026-02-17 13:54:46,IP Address,137.110.80.102,7,2,False,2026-02-24 13:54:49,R_14m0b9GNVCFYSxb,,,,,32.9511,-117.2241,qr,EN,,,,,,,,,,,,,,,,,
2026-02-17 14:00:51,2026-02-17 14:00:53,IP Address,137.110.201.216,8,1,False,2026-02-24 14:00:55,R_1BllokAOkYVxOcV,,,,,32.8595,-117.2124,qr,EN,,,,,,,,,,,,,,,,,
2026-02-17 14:01:00,2026-02-17 14:01:03,IP Address,137.110.94.107,8,3,False,2026-02-24 14:01:05,R_1MA6ftFOpAhjGuE,,,,,32.8595,-117.2124,qr,EN,,,,,,,,,,,,,,,,,
2026-02-17 14:01:34,2026-02-17 14:01:36,IP Address,137.110.47.250,8,1,False,2026-02-24 14:01:41,R_1f7MMze46phUbqA,,,,,32.8595,-117.2124,qr,EN,,,,,,,,,,,,,,,,,
2026-02-17 15:11:31,2026-02-17 15:12:27,IP Address,69.196.46.139,54,56,False,2026-02-24 15:12:34,R_1f6OuYnnKMXKS8Y,,,,,32.8595,-117.2124,anonymous,EN,Psychology,,Senior,,Yes,ChatGPT,idk,,,,"Studying (Learning, exam preparation, tutoring, practice problems, flashcards),Conversational (Chatting, companionship, brainstorming, inquiring),Research (Finding sources, gathering data, citations),Writing (Essays, e-Mails, templates, tone detection/improvement, rewriting, editing),Summarization / Paraphrasing (Condensing articles, lectures, PDF’s, restructuring writing),Planning / Scheduling: (Categorization, sorting, estimates)",,,,,,
2026-02-17 15:29:50,2026-02-17 15:29:56,IP Address,69.196.46.172,8,6,False,2026-02-24 15:29:57,R_6Brs58PzsHo0R9C,,,,,32.8595,-117.2124,anonymous,EN,,,,,,,,,,,,,,,,,
2026-02-17 15:47:04,2026-02-17 15:50:26,IP Address,137.110.45.220,54,201,False,2026-02-24 15:50:41,R_731yrKZ7H3Dc8Qw,,,,,32.8595,-117.2124,anonymous,EN,Psychology,,Senior,,Yes,ChatGPT,Maybe 1,,,,"Research (Finding sources, gathering data, citations),Summarization / Paraphrasing (Condensing articles, lectures, PDF’s, restructuring writing)",,,,,,
2026-02-17 16:00:48,2026-02-17 16:01:23,IP Address,207.213.21.53,38,35,False,2026-02-24 16:01:33,R_6Huex50zaGqbIAL,,,,,32.7405,-117.0935,anonymous,EN,Business/Business Economics,,Freshman,,Yes,ChatGPT,,,,,,,,,,,
2026-02-17 19:21:49,2026-02-17 19:21:53,IP Address,67.172.181.138,8,3,False,2026-02-24 19:21:57,R_3eE2dY4ofoFmMIa,,,,,38.4207,-121.3623,anonymous,EN,,,,,,,,,,,,,,,,,
2026-02-17 20:15:10,2026-02-17 20:15:14,IP Address,128.54.190.14,8,3,False,2026-02-24 20:15:14,R_3GPwRRuMElijMuL,,,,,33.9576,-118.267,anonymous,EN,,,,,,,,,,,,,,,,,
2026-02-17 20:36:33,2026-02-17 20:36:34,IP Address,73.48.164.68,8,1,False,2026-02-24 20:36:35,R_5fdGHe3uTwOpqLV,,,,,38.4063,-121.4287,anonymous,EN,,,,,,,,,,,,,,,,,
2026-02-18 13:00:54,2026-02-18 13:01:09,IP Address,216.77.46.114,38,14,False,2026-02-25 13:05:08,R_7LjrR9yTDx4u7my,,,,,32.7097,-117.1228,anonymous,EN,Data Science,,Junior,,Yes,Google Gemini,,,,,,,,,,,
2026-02-18 13:01:35,2026-02-18 13:02:21,IP Address,137.110.201.234,8,45,False,2026-02-25 13:06:04,R_7jwSBB1ZvQ9XOxm,,,,,32.8595,-117.2124,anonymous,EN,,,,,,,,,,,,,,,,,
2026-02-25 13:48:18,2026-02-25 13:50:25,IP Address,172.59.144.66,100,126,True,2026-02-25 13:50:26,R_7FPmWzKOrZkHzo1,,,,,37.9593,-121.2619,qr,EN,Mathematics and Statistics,,Junior,,Yes,ChatGPT,,,,,"Studying (Learning, exam preparation, tutoring, practice problems, flashcards),Research (Finding sources, gathering data, citations),Coding (Programming assistance, debugging, examples),Problem-Solving / Arithmetic: (Math, logic, step-by-step solutions)",,2,3,450,$1 Million - $10 Million,More than 24 months
2026-02-18 14:25:07,2026-02-18 14:25:57,IP Address,137.110.96.181,54,50,False,2026-02-25 14:26:11,R_3xKNRBrmVPnxopX,,,,,32.9167,-117.0903,anonymous,EN,Other,Environmental Systems,Sophmore,,Yes,,,,,,"Studying (Learning, exam preparation, tutoring, practice problems, flashcards),Problem-Solving / Arithmetic: (Math, logic, step-by-step solutions)",,,,,,
2026-02-18 20:17:38,2026-02-18 20:18:51,IP Address,104.185.191.120,54,73,False,2026-02-25 20:19:00,R_1KDCZtM7sEMuhA5,,,,,32.7173,-117.157,anonymous,EN,Other,Visual arts,Junior,,Yes,Google Gemini,,4,,,"Summarization / Paraphrasing (Condensing articles, lectures, PDF’s, restructuring writing),Planning / Scheduling: (Categorization, sorting, estimates)",,,,,,
2026-02-19 13:33:05,2026-02-19 13:34:13,IP Address,216.77.46.36,54,67,False,2026-02-26 13:34:13,R_11Z3knBLNb1D5FP,,,,,32.7097,-117.1228,anonymous,EN,Education,,Senior,,Yes,ChatGPT,15,,,,"Studying (Learning, exam preparation, tutoring, practice problems, flashcards),Writing (Essays, e-Mails, templates, tone detection/improvement, rewriting, editing),Problem-Solving / Arithmetic: (Math, logic, step-by-step solutions)",,,,,,
2026-02-19 13:44:19,2026-02-19 13:49:45,IP Address,69.196.35.68,38,326,False,2026-02-26 13:49:47,R_5uCJ2AXYBjk9wkc,,,,,32.8595,-117.2124,anonymous,EN,Computer and information sciences,,Junior,,Yes,ChatGPT,,,,,,,,,,,
